symbol,display_symbol,canonical_symbol,meaning,meaning_len,alt_meaning_count,source_row_count
A'RAF,A'Raf,a'raf,"Bir kimsenin rüyada A'râf sûresini veya ondan bir parçayı okuduğunu, yahut üzerine okunulduğunu görmesi, ilme nailiyete, dinde kuvvete ve hâlis müminliğe alâmettir. Ibn-i Sîrîn hazretlerinin beyanına göre, bu sûreyi rüyada okuyan kişi Tûr-i Sina'yı ziyarete mazhar olur, düşmanına galip gelir. Cafer-i Sâdık (r.a) demiştir ki: Rüyada A'râf Sûresi'ni okuduğunu görmek, Cenâb-ı Hak'km rızasına nailiyete delâlet eder ve her korkudan emin olur. Bazan da rüyada bu sûreyi okumak, şeytanın hilesinden emin olmaya, ahirette Hazret-i Âdem (a.s) şefaatine ermeye delâlet eder.",568,1,2
ABANOZ,Abanoz,abanoz,"Rüyada Abanoz ağacı görmek, sevinçli, zengin bir kadına delâlet eder. Veya kalbi katı bir erkeğe işarettir.",107,1,2
ABESE,Abese,abese,"Bir kimsenin rüyada Sûre-i Abese'yi veya ondan bir parçayı okuduğunu veya kendi üzerine okunduğunu görmesi, sadaka ve zekâtı çok vermeye ve doğu tarafına yolculuğa delâlet eder. Kirmani demiştir ki: O kişi insanları hakir görüp gurur ve kibire kapılır. Cafer-i Sâdık ise: - Fakir ve fukaraya karşı hayır ve hasenatı olursa da, bütün bunları riya ile yapar ve başa kakar demektedir.",381,1,2
ACI ŞEYLER,Aci Şeyler,aci şeyler,"Rüyada acı şeyler yediğini görmek, keder ve kötürümlükle tâbir olunur. Rüyada acı biber yediğini görmek, biberler taze ve yeşil ise, sıhhat ve afiyete, dövülmüş halde kara veya kırmızı biber ise, fena bir haber almaya delâlet eder.",231,1,2
ACIMAK,Acimak,acimak,"Rüyada yetime ve fakire karşı acıdığını görmek mağfirete, kendisinin acıdığını görmek, gufrana, ilâhî rahmetin üzerine nail olduğunu görmek, nimete ve rızkın artmasına delâlet eder.. Kendisini Rahîm, çok merhametli ve sevinçli halde görmek, Kur'ân-ı Kerim'i hıfza delâlet eder.",277,1,2
ACUZE (Yaşlı kadın),ACUZE (Yaşlı kadın),acuze,"Rüyada çirkin ve yaşlı bir kadın görmek, uzun ömre delâlet eder. Bazı kere de dünyalığa işarettir.",98,1,2
ACVE (Medine'de yetişen bir hurma cinsi),ACVE (Medine'de yetişen bir hurma cinsi),acve,"Rüyada bu hurmayı görmek, temiz, pâk, helâl ve sayısız mala delâlet eder. Yine bu hurmanın kurusunu görmek, hastalıktan şifaya işarettir.",137,1,2
AD (İsim),AD (İsim),ad,"Kişinin rüyada isminin değiştiğini görmesi, hayra, saadet ve selâmete işarettir. Güzel bir isimle kendisine hitap edildiğini görmek, izzet ve şerefe delâlet eder. Kör, topal, aksak ve sevimsiz bir isimle hitap edildiğini görmek, çirkin bir nam ile anılmaya delâlet eder..",271,1,2
ADA,Ada,ada,"Rüyada ada görmek, ele girecek para ile tâbir olunur. Adaya çıkmak, adadan bir şey almak, mirasa konmaya işarettir. Kendisi tarafından adaya bir şey götürmek ise, veraset ilâmı almaya delâlet eder. Rüyada bir adadan ayrıldığını görmek, malın zarara uğrayacağına işarettir.",272,1,2
ADA SOĞANI,Ada Soğani,ada soğani,"Ada soğanı görmek, günah ve kötülükle yâd edilen bir kimseye delâlet eder. Elinde ada soğanı olduğunu görmek, kötülüklere meyletmekle tâbir olunur.",147,1,2
ADA TAVŞANI,Ada Tavşani,ada tavşani,"Rüyada ada tavşanı görmek, bahtın açıklığına işarettir.. Görülen tavşan beyaz ise, evlenmek ile tâbir olunur.",109,1,2
